date,duration,deepSleep,lightSleep,quality
2026-04-19,7.2,1.5,3.0,good
2026-04-20,5.8,1.0,2.4,fair
2026-04-21,8.1,2.0,3.5,excellent
2026-04-22,4.5,0.8,1.8,poor
2026-04-23,6.9,1.3,2.8,good
2026-04-24,8.5,2.2,3.6,excellent
2026-04-25,7.0,1.4,2.9,good
2026-04-26,5.3,0.9,2.2,poor
2026-04-27,7.8,1.8,3.2,good
2026-04-28,6.5,1.2,2.6,fair
2026-04-29,7.4,1.6,3.1,good
2026-04-30,8.0,1.9,3.4,excellent
2026-05-01,5.0,0.7,2.0,poor
2026-05-02,6.8,1.3,2.7,good
2026-05-03,7.6,1.7,3.3,good
2026-05-04,5.5,0.9,2.3,fair
2026-05-05,8.3,2.1,3.5,excellent
2026-05-06,6.2,1.1,2.5,fair
2026-05-07,7.1,1.4,2.9,good
2026-05-08,7.9,1.8,3.3,good
2026-05-09,4.8,0.8,1.9,poor
2026-05-10,6.7,1.3,2.7,good
2026-05-11,8.4,2.2,3.6,excellent
2026-05-12,5.9,1.0,2.4,fair
2026-05-13,7.3,1.5,3.0,good
2026-05-14,6.4,1.1,2.6,fair
2026-05-15,8.2,2.0,3.5,excellent
2026-05-16,5.6,0.9,2.3,fair
2026-05-17,7.5,1.6,3.1,good
2026-05-18,6.9,1.3,2.8,good
