date,steps,distance,calories
2026-04-19,8234,5.8,328
2026-04-20,6512,4.6,260
2026-04-21,10250,7.2,410
2026-04-22,3780,2.7,151
2026-04-23,9100,6.4,364
2026-04-24,12340,8.7,494
2026-04-25,7890,5.6,316
2026-04-26,5670,4.0,227
2026-04-27,11020,7.8,441
2026-04-28,8760,6.2,350
2026-04-29,6230,4.4,249
2026-04-30,9450,6.7,378
2026-05-01,13200,9.3,528
2026-05-02,4560,3.2,182
2026-05-03,7890,5.6,316
2026-05-04,9870,7.0,395
2026-05-05,5340,3.8,214
2026-05-06,11200,7.9,448
2026-05-07,7650,5.4,306
2026-05-08,8900,6.3,356
2026-05-09,6780,4.8,271
2026-05-10,10500,7.4,420
2026-05-11,4320,3.0,173
2026-05-12,9230,6.5,369
2026-05-13,7120,5.0,285
2026-05-14,11800,8.3,472
2026-05-15,8450,6.0,338
2026-05-16,5900,4.2,236
2026-05-17,10340,7.3,414
2026-05-18,7780,5.5,311
